title,tahun,url,abstrak,jenis publikasi
Rancang Bangun Sistem Informasi Donasi Masjid Kota Kendari Berbasis Website,2023,https://scholar.google.com/scholar?cluster=15766268650781732110&hl=en&oi=scholarr,"Indonesia merupakan salah satu negara yang memiliki jumlah umat muslim terbesar di dunia. Sebagai agama mayoritas di Indonesia menjadi sebuah kebutuhan umat muslim untuk memiliki tempat ibadah, dalam hal ini masjid. Banyaknya umat muslim di Indonesia juga akan berbanding lurus dengan banyaknya jumlah masjid yang diperlukan. Terkadang salah satu dari banyaknya masjid tersebut tidak lepas dari yang namanya kerusakan, entah dalam skala kecil maupun besar. Selain pemerintah sebagai pawang dalam mengatasi masalah ini, terkadang donasi menjadi cara terbaik untuk mengatasi masalah kerusakan pada masjid. Namun untuk saat ini proses donasi masih bersifat manual. Masalah utama dari proses donasi secara manual adalah masalah kepercayaan, karena tidak adanya transparansi dan informasi tentang penggunaan dana tersebut. Banyak informasi tentang penggalangan dana yang …",jurnal
RANCANG BANGUN JARINGAN DISKLESS CLUSTER UNTUK OPTIMALISASI KOMPUTER LOW SPECIFICATION BERBASIS LINUX TERMINAL SERVER PROJECT (LTSP),2020,https://www.academia.edu/download/82867442/14_semanTIK_20Vol_206_20no_202_20Hal99_106_uswa_isnawaty.pdf,"Perkembangan teknologi yang sangat pesat, mengakibatkan komputer-komputer yang telah tertinggal dalam hal spesifikasi kurang termanfaatkan dengan baik. Kebanyakan komputer tersebut mengalami kerusakan pada sistem operasi, memori, dan hardisk. Untuk mengatasi masalah ini dapat diimplementasikan desain sistem jaringan diskless menggunakan Linux Terminal Server Project (LTSP). Diskless berarti hubungan antara server dan client dimana client tidak memerlukan hardisk, jadi untuk kegiatan dari booting sampai aplikasi yang digunakan, semua kegiatan diambil dari hardisk server. Kinerja jaringan diskless diukur dari penggunaan RAM server setiap client yang mengakses data pada server. Hasil pengujian menunjukkan bahwa sistem diskless dapat diimplementasikan ke komputer tanpa hardisk dan kinerja memori server saat menjalankan satu client relatif rendah namun ketika client nya ditambah maka penggunaan memori server juga ikut bertambah. Dengan demikian sebuah perangkat lunak tanpa hardisk berbasis diskless sangatlah cocok untuk komputer dengan spesifikasi rendah dengan mempertimbangkan performa serta proses yang digunakan.",jurnal
Implementasi Iot Untuk Optimasi Budidaya Tanaman Hidroponik Pada Ukm Rumah Bali Hidroponik Untuk Meningkatkan Efisiensi Produksi,2025,https://abdiinsani.unram.ac.id/index.php/jurnal/article/download/2274/1625,"Budidaya tanaman hidroponik merupakan solusi modern dalam pertanian yang menawarkan efisiensi lahan dan sumber daya. Namun, UKM seperti Rumah Bali Hidroponik menghadapi tantangan dalam menjaga konsistensi pengelolaan lingkungan tumbuh guna mencapai produktivitas optimal. Kegiatan Pemberdayaan Kemitraan Masyarakat (PKM) ini berfokus pada penerapan teknologi Internet of Things (IoT) sebagai upaya mengatasi tantangan tersebut, sehingga UKM dapat meningkatkan efisiensi produksi dan daya saing. Kegiatan ini menggunakan pendekatan pengembangan sistem IoT berbasis sensor untuk memantau parameter lingkungan secara real-time, termasuk suhu, kelembapan, pH, dan kadar nutrisi. Sistem ini terintegrasi dengan aplikasi berbasis cloud yang mendukung analisis data dan pengambilan keputusan otomatis. Selain itu, pelatihan intensif diberikan kepada mitra UKM untuk meningkatkan pemahaman dan keterampilan dalam memanfaatkan teknologi IoT secara maksimal. Implementasi sistem IoT menunjukkan hasil signifikan:(a) Penghematan Biaya Operasional: Efisiensi penggunaan sumber daya menghasilkan penghematan hingga 18% dari total biaya;(b) Peningkatan Pendapatan: Produktivitas dan kualitas hasil panen yang lebih baik meningkatkan pendapatan hingga 20%, didukung harga jual yang lebih kompetitif;(c) Aspek Teknis: Sistem IoT berhasil diterapkan dengan tingkat keberhasilan operasional mencapai 95%;(d) Aspek Edukasi: Peserta pelatihan mencatat peningkatan pemahaman teknologi hingga 90% berdasarkan hasil evaluasi; dan e. Aspek Ekonomi: Program ini memberikan manfaat …",jurnal
Implementation of Samba Server Using OpenVPN Based on Single Board Computer (SBC) for Private Cloud Storage,2024,https://jurnal.polibatam.ac.id/index.php/JAIC/article/view/8324,"In the current digital era, people's need for data storage media that is practical and can be accessed at any time is increasing. This research aims to design and implement a practical cloud-based data storage system using a Raspberry Pi 4 Model B device using the Samba and OpenVPN applications. The system focuses on storing users' data (private cloud), which allows users to directly access files and data via a storage server. The method used in this research includes a literature review to support system development. Testing was carried out to evaluate the security of the system being built by comparing access to private cloud server services before and after using the OpenVPN application. Test results show that using the OpenVPN application increases the security of data exchange, with good encryption in communications between client and server. The resulting system runs according to the initial design and can function as a secure private cloud system. This research can contribute to the development of efficient and secure data storage solutions, as well as show the potential for using the Raspberry Pi as an energy and cost-saving personal cloud server device.",jurnal
"Optimasi Jaringan Wireless Dengan Penerapan Antena Kathrein, Metode ECMP dan Metode Recursive Gateway Pada Dua Jaringan Seluler",2024,https://elektroda.uho.ac.id/index.php/journal/article/view/795,"perkembangan jaringan internet pada masa sekarang ini sudah semakin pesat, banyaknya penyedia jaringan seluler semakin memudahkan orang untuk menikmati jaringan internet. dengan banyaknya penyedia jaringan seluler memberikan pilihan bagi para pengguna. untuk di rumah dapat memanfaatkan jaringan seluler sebagai jaringan internet. pemanfaatan jaringan seluler lebih dari satu dapat digabungkan dengan menerapkan load balancing. salah satu kendala yang dihadapi itu adalah kekuatan sinyal yang tidak kuat. salah satu perangkat yang dapat digunakan adalah antena kathrein. antena kathrein pada penelitian ini dapat digunakan untuk menerima sinyal seluler dari penyedia jaringan kemudian mentransmisikan kembali sinyal tersebut dengan yang lebih tinggi, sehingga sinyal tersebut lebih optimal. sedangkan equal cost multi path digunakan untuk pemilihan jalur keluar secara bergantian pada gateway dengan beban yang sama. untuk recursive gateway digunakan untuk pengecekan terhadap gateway yang tidak terhubung langsung dengan router, yang dimana ketika jaringan seluer 1 down maka jaringan seluer 2 akan up, begitupun sebaliknya. hasil yang didapatkan dari penelitian ini bahwa dengan menerapkan metode ini dapat memberikan jaringan internet yang lebih baik dibandingkan hanya menggunakan satu jaringan seluler. kata kunci—antena kathrein, equal cost multi path (ecmp), recursive gateway,. jaringan seluler",jurnal
Penerapan Algoritma C4. 5 untuk Penerimaan Calon Pegawai Negeri Sipil Kemenkumham Sulawesi Tenggara,2024,https://jurnal.umj.ac.id/index.php/just-it/article/view/20771,"Penelitian ini menerapkan algoritma Decision Tree C4. 5 dalam seleksi Calon Pegawai Negeri Sipil (CPNS) Kemenkumham Sulawesi Tenggara. Melibatkan Data Mining, metode ini memanfaatkan preprocessing data, pemilihan atribut, dan pengembangan model Decision Tree. Algoritma C4. 5, dipilih karena kemudahan dan visualisasi, diaplikasikan pada data pelamar CPNS, termasuk SKD seperti TWK, TIU, dan TKP. Kontribusi utama adalah peningkatan efisiensi dan ketepatan seleksi CPNS, memastikan pegawai sesuai kebutuhan instansi. Visualisasi pohon keputusan dari C4. 5 memberikan pemahaman yang lebih baik tentang faktor-faktor yang memengaruhi keputusan model. Kata Kunci: algoritma C4. 5, Kementerian Hukum dan Hak Asasi Manusia, Penerimaan CPNS, Pohon Keputusan, Sulawesi Tenggara",jurnal
Rancang Bangun Sistem Informasi Notulensi Rapat Menggunakan Metode Prototype,2023,https://pdfs.semanticscholar.org/c6cd/787eb56dddf469b002f4e5d300cfba0def1b.pdf,"Sistem Informasi Notulensi Rapat (SINORA) adalah sebuah aplikasi yang dirancang untuk mempermudah proses pengelolaan dan dokumentasi informasi rapat secara efisien dan efektif. Dalam instansi, rapat menjadi salah satu alat penting dalam pengambilan keputusan, koordinasi, dan pertukaran informasi antar anggota tim atau organisasi. Namun, seringkali proses notulensi rapat yang dilakukan secara manual menghadirkan tantangan dalam hal keakuratan, konsistensi, dan aksesibilitas informasi, dengan menggunakan metode prototype sistem ini dibuat untuk mengidentifikasi kebutuhan pengguna, merancang, dan mengimplementasikan SINORA yang dapat menjadi solusi dalam meningkatkan efisiensi dan efektivitas pada pengelolaan informasi rapat. Hasil yang diperoleh dari penelitian ini adalah sistem bekerja dengan baik dan dapat digunakan sesuai kebutuhan instansi.",jurnal
ANALISIS QUALITY of SERVICE (QoS) PADA PERMAINAN GAME ONLINE MENGGUNAKAN METODE PEER CONNECTION QUEUE DENGAN ANTRIAN QUEUE TREE,2021,https://pdfs.semanticscholar.org/7c8f/52ab8a50040e44abf393262cf963dd0ba52e.pdf,"Pengaturan bandwidth adalah hal yang sangat penting dalam layanan internet. Metode Peer Connection Queue (PCQ) melakukan pembagian bandwidth secara otomatis dan merata di antara banyak klien. Sedangkan Queue Tree melakukan pengaturan bandwidth dengan membatasi satu arah koneksi saja, baik koneksi untuk download maupun upload. Dengan penerapan metode PCQ dan Queue Tree diharapkan setiap pengguna yang mengakses internet bisa mendapatkan alokasi bandwidth yang sama. Penelitian dilakukan dengan membandingkan penggunaan bandwidth sebelum dan sesudah penggunaan metode PCQ dan Queue Tree. Hasil penelitian menunjukkan bahwa nilai QoS setelah penerapan metode PCQ dengan Queue tree lebih baik daripada sebelum penerapan metode. Dimana sebelum penerapan metode, nilai QoS diperoleh throughput 0, 00016637 mbps, delay 375.064 ms, jitter 1.971 ms, dan packet loss 0% berdasarkan nilai QoS standar (TIPHON) dengan kategori sedang. Sedangkan setelah penerapan metode, nilai Quality of Service (QoS) yaitu throughput sebesar 0, 00018318 mbps, delay 374,991 ms, jitter 1,905 ms, dan packet loss 0% berdasarkan pada QoS standar (TIPHON) dengan kategori baik.",jurnal
Sistem informasi pariwisata kota kendari,2020,https://scholar.google.com/scholar?cluster=12578345737436925637&hl=en&oi=scholarr,"Penelitian ini bertujuan merancang Sistem Informasi Pariwisata Kota Kendari untuk dijadikan sebagai sarana/media untuk mempromosikan pariwisata. Sistem ini dapat memberikan informasi lokasi dan fasilitas tempat-tempat pariwisata yang berada di Kota Kendari. Sistem informasi pariwisata tersebut dapat diakses dan digunakan melalui jaringan internet tanpa proses instalasi, dapat digunakan multiuser dengan sistem webhosting sehingga dapat digunakan secara bersama meski lokasi dan wilayah berbeda.Penelitian ini merupakan penelitian deskriptif kualitatif dengan pendekatan rekayasa perangkat lunak. Metode pengembangan sistem yang digunakan adalah waterfall modelling. Hasil penelitian ini menyimpulkan sistem informasi pariwisata berbasis website dapat mengelola data pariwisata yang ada secara efektif dan efisien serta dapat diakses dengan cepat dan mudah untuk memberikan informasi …",jurnal
"Analisis Penerapan Load Balancing, Caching, Dan Honeypot Dengan Konsep Cdn Untuk Optimalisasi Kinerja Server",2025,https://semantik.uho.ac.id/index.php/journal/article/view/148,"Pada era digital saat ini, kebutuhan layanan internet yang cepat, andal, dan aman semakin meningkat di berbagai sektor. Namun, tingginya beban lalu lintas sering menyebabkan penurunan performa server, seperti peningkatan waktu respons dan downtime. Penelitian ini bertujuan mengoptimalkan kinerja server dengan menerapkan konsep Content Delivery Network (CDN) melalui teknik Load Balancing, Caching, dan Honeypot. Load Balancing digunakan untuk mendistribusikan lalu lintas secara merata, sedangkan Caching berfungsi mengurangi beban pada server utama dan mempercepat akses data. Honeypot ditambahkan untuk mendeteksi aktivitas berbahaya tanpa mengganggu sistem utama. Metode pengujian yang digunakan adalah stress testing guna mengevaluasi performa server sebelum dan sesudah penerapan teknik optimalisasi. Hasil menunjukkan peningkatan performa signifikan, dengan penurunan response time hingga 45, 80%, peningkatan throughput sebesar 85, 25%, serta penurunan penggunaan CPU hingga 62, 64%. Penggunaan memori meningkat 7, 60% akibat cache, namun tetap dalam batas efisien. Honeypot berhasil merekam aktivitas serangan secara real-time, memberikan data penting untuk analisis keamanan. Hasil ini menunjukkan bahwa integrasi teknik tersebut efektif dalam meningkatkan kinerja dan keamanan server, serta relevan diterapkan pada sistem dengan beban tinggi.",jurnal
